matchedPattern,context,lineNumber,columnNumber,publicationName
P05067,A01.004	P05067	671,151,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	705,152,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	713,153,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	714,154,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	719,155,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	720,156,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.041	P05067	690,157,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.041	P05067	691,158,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A22.001	P05067	711,159,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A22.001	P05067	713,160,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A22.001	P05067	714,161,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.060	P05067	704,162,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.060	P05067	708,163,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.060	P05067	711,164,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	685,165,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	685,166,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	685,167,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	689,168,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	690,169,9,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	690,170,9,Biochimie_2016_Mar_122_5-30.txt
