matchedPattern,context,lineNumber,columnNumber,publicationName
PS51375,...7). PPR motifs were found using the PROSITE entry PS51375 and the ScanProsite software (De Castro et...,27,477,G3_(Bethesda)_2016_Mar_29_6(6)_1627-1633.txt
PS51375,"... loop before helix A (http://expasy.org/prosite/, PS51375; 34th aa for the Pfam, Asp of S to L2 in F...",40,791,Nucleic_Acids_Res_2012_Mar_29_40(6)_2712-2723.txt
PS51375,... numbering are coincident with the PROSITE model (PS51375). The helix and loop structure is schemati...,41,358,Nucleic_Acids_Res_2012_Mar_29_40(6)_2712-2723.txt
PS51375,Pentatricopeptide (PPR) repeat profile	PS51375,26,41,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,Family 2	RF2A1	RF1B	DQ311054	Q2PPE6	PS51375	PPR repeat	Oryza sativa,53,37,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2B1	RF1A	DQ311052	Q2PPE8	PS51375	PPR repeat	Oryza sativa,54,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2B2	RF1	AB106867	Q76C99	PS51375	PPR repeat	Oryza sativa,55,28,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2B3	RF1D	AB179840	Q6L6Q0	PS51375	PPR repeat	Oryza sativa,56,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2B4	PPR762	AB110443	Q76C24	PS51375	PPR repeat	Oryza sativa,57,31,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2B5	RFB	AB110443	Q769D0	PS51375	PPR repeat	Oryza sativa,58,28,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2B6	Os10g0497300	AP008216	Q76C22	PS51375	PPR repeat	Oryza sativa,59,37,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2B7	RF1C	AB112811	Q769C9	PS51375	PPR repeat	Oryza sativa,60,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2B8	PPR794	AB195686	Q76C26	PS51375	PPR repeat	Oryza sativa,61,31,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2C1	PPR-814a	FJ176574	C9W3P9	PS51375	PPR repeat	Zea mays,62,33,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2C2	PPR-814b	FJ184378	C9W4C1	PS51375	PPR repeat	Zea mays,63,33,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2C3	PPR-814c	FJ184379	C9W4C2	PS51375	PPR repeat	Zea mays,64,33,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2C4	PPR-817	FJ184376	C9W4B9	PS51375	PPR repeat	Zea mays,65,32,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2C5	PPR-816	FJ184377	C9W4C0	PS51375	PPR repeat	Zea mays,66,32,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2D1	AB110444	AB110444	Q76C21	PS51375	PPR repeat	Oryza sativa,67,33,PLoS_One_2010_Dec_28_5(12)_e15906.txt
PS51375,RF2D2	RF1B	AB112809	Q769D1	PS51375	PPR repeat	Oryza sativa,68,29,PLoS_One_2010_Dec_28_5(12)_e15906.txt
